[Sun Feb 26 21:32:20.466429 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:21.967020 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:23.465544 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:24.963794 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:26.464373 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:27.971857 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:29.462666 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:30.963127 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:32.462727 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Mon Feb 27 01:09:20.892965 2017] [:error] [pid 20206] [client 127.0.0.1:57722] PHP Fatal error:  Class 'Entities\\Controller\\TechLoadController' not found in /home/vidok/sites/ogame.zz/vendor/zendframework/zend-servicemanager/src/Factory/InvokableFactory.php on line 32
[Mon Feb 27 01:36:33.430622 2017] [:error] [pid 19327] [client 127.0.0.1:58036] PHP Warning:  require_once(/home/vidok/sites/ogame.zz/module/Entities/src/Controller../classes/UploadHandler.php): failed to open stream: No such file or directory in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 12, referer: http://ogame.zz/entities
[Mon Feb 27 01:36:33.430682 2017] [:error] [pid 19327] [client 127.0.0.1:58036] PHP Fatal error:  require_once(): Failed opening required '/home/vidok/sites/ogame.zz/module/Entities/src/Controller../classes/UploadHandler.php' (include_path='.:/usr/share/php') in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 12, referer: http://ogame.zz/entities
[Mon Feb 27 01:37:23.067339 2017] [:error] [pid 19326] [client 127.0.0.1:58037] PHP Warning:  require_once(/home/vidok/sites/ogame.zz/module/Entities/src/classes/UploadHandler.php): failed to open stream: No such file or directory in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 12, referer: http://ogame.zz/entities
[Mon Feb 27 01:37:23.067394 2017] [:error] [pid 19326] [client 127.0.0.1:58037] PHP Fatal error:  require_once(): Failed opening required '/home/vidok/sites/ogame.zz/module/Entities/src/classes/UploadHandler.php' (include_path='.:/usr/share/php') in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 12, referer: http://ogame.zz/entities
[Mon Feb 27 01:37:50.662409 2017] [:error] [pid 19327] [client 127.0.0.1:58036] PHP Fatal error:  Class 'Entities\\Controller\\UploadHandler' not found in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 21, referer: http://ogame.zz/entities
[Mon Feb 27 01:38:04.428434 2017] [:error] [pid 19327] [client 127.0.0.1:58036] PHP Fatal error:  Class 'UploadHandler' not found in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 21, referer: http://ogame.zz/entities
[Mon Feb 27 01:39:27.011132 2017] [:error] [pid 19327] [client 127.0.0.1:58036] PHP Fatal error:  Class 'Entities\\Controller\\Entities\\Classes\\UploadHandler' not found in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 21, referer: http://ogame.zz/entities
